הסרטון שוועדת הבחירות לא רצתה שתראו &gt;&gt; 
"מי שנכנע בפעם הראשונה לסחטנות של מחבלים, צריך להבין שהוא חותם על 'משכנתא לכל החיים'. הצד השני יציב לו מידי חודש עוד ועוד דרישות.

במקום לשלם את דמי הפרוטקשן לארגון הטרור חמאס, היינו צריכים להכות בהם בחוזקה ולהרוס את היכולת וכוח הרצון שלהם  להלחם בנו.
"
"דיור לזוגות צעירים זה לא חלום, זאת מציאות שאפשר להגשים. "
"אם לא ישראל ביתנו, הסיטואציה הזאת הייתה אפשרית לגמרי. צפו ועזרו לנו להמשיך לשמור על הבית. "
"שוב התפרעויות אלימות בגבול רצועת עזה, שבמהלכן נפצע קצין מג""ב. שוב נחתו בלוני תבערה, והפעם בנתיבות ובמועצה האזורית מרחבים. השבוע חשף שב""כ התארגנות טרור ביו""ש בהכוונת החמאס מעזה. 

מי שחושב ששקט לפני הבחירות מצדיק כניעה לטרור, שיצביע ליכוד. מי שחושב הפוך, חייב להצביע ישראל ביתנו. "
כולם לצערנו נזכרו רק השבוע לדבר על זה. ישראל ביתנו היא המפלגה היחידה שבאמת מקדמת חוק עונש מוות למחבלים. 
"לא ייתכן שנערה בת 19 נרצחת על רקע לאומני והרוצח השפל יחיה עוד שנים רבות בתנאים המפנקים של הכלא הישראלי. חייבים לשנות את המציאות הזאת, חייבים חוק עונש מוות למחבלים! "
"כולם יודעים מי בעזה נתן את הפקודה לירות בקצין. צריך להפסיק את הכניעה לטרור ולחזור למדיניות הסיכולים הממוקדים.

"
"התכנים והמסר שיצאו מהועידה של תנועת בל""ד שהתקיימה היום, מוכיחים פעם נוספת, שמדובר בגיס חמישי ובבגידה במדינה לכל דבר ועניין.
אנו נמשיך במאמצנו להוציא את תנועת בל""ד מחוץ לחוק.

"
#לא_דופק_חשבון_לחמאס 
"אחת מההחלטות החשובות שקיבלתי במהלך כהונתי כשר הביטחון היתה בחירת הרמטכ""ל. אני בטוח שרב אלוף אביב כוכבי, לוחם ומפקד נערץ, ינהיג את צה""ל בנחישות ובמקצועיות. הבחירה ברב אלוף כוכבי היתה הבחירה הנכונה. בהצלחה!

אריאל חרמוני, משרד הביטחון "
"והנה תגובתי ל""הודעה הדרמטית"" של היום... "
"#את_חיילת_בצבא_של_ישראל_ויתייחסו_אלייך_בהתאם

אני מצדיע לחיילות ולחיילי צה""ל!

"
"סוף סוף, בשעה טובה בית״ר על המפה! היידה בוזגלו, היידה קלינגר, יאללה בית״ר!

"
"#רגע_לפני_פיזור_הכנסת

בדקה ה-90: אושרה בקריאה שנייה ושלישית בכנסת - הצעת החוק של סיעת ישראל ביתנו הקובעת שמחבלים עם דם על הידיים לא יזכו יותר לשחרור מוקדם מהכלא ולא יקבלו קיצור שליש.
דם יהודי אינו הפקר!
@oded_forer "
"אני מברך את האלוף אייל זמיר, שמתחיל היום את כהונתו כסגן הרמטכ""ל. האלוף זמיר הוא לוחם אמיץ ומפקד מוערך, אבל מעל הכל מדובר באדם ישר וערכי, שביטחון מדינת ישראל נמצא תמיד לנגד עיניו. אין לי ספק שהאלוף זמיר יהיה סגן רמטכ""ל מצויין, ואני מאחל לו בהצלחה בתפקיד החדש.

קרדיט: דוברות משהב""ט "
"#לסגור_לחמאס_את_הכספומט 
העברת הכסף הקטארי בסך 15 מיליון דולר לחמאס היא אחת הסיבות העיקריות לפרישתי מתפקיד שר הביטחון.
התנגדתי נחרצות להעברת הכסף כשהייתי בתוך הממשלה, ואני מתנגד לכך גם עכשיו.
אני דורש מראש הממשלה לסגור לאלתר את צינור הכסף שמממן את הטרור נגד תושבי ישראל! "
כניעה לחמאס- כרוניקה של ביזיון 
"מדובר בהחלטה חשובה מאוד של בג״צ הערב, שנותנת רוח גבית חזקה למאבק העיקש שניהלנו בשנתיים וחצי האחרונות להרס בתי מחבלים. מקווה שזהו תקדים לכל המקרים הבאים.
"
"את הסופ״ש הקרוב נבלה יחד עם חברי הסיעה בשדרות ובאשקלון. באנו להיות עם תושבי הדרום, לחזק אותם ולהתחזק מהרוח האיתנה של התושבים. לכולם ברור שצריך לשנות את המדיניות, להכריע את הטרור ולא להיכנע לו. אני מתכוון להמשיך להיות עם תושבי הדרום ולפתוח כאן תוך עשרה ימים לשכה פרלמנטרית. "
"מקור הביטחון האישי שלי בצבא ההגנה לישראל הוא אתם- חיילי צה""ל. תודה רבה לכם ושבת שלום. תשמרו על עצמכם. "
"תושבי הדרום זכאים לאותה רמת ביטחון כמו תושבי תל אביב

"
"הודיתי לרא""ל גדי איזנקוט על שנתיים וחצי של שותפות בהובלת מערכת הביטחון. זכיתי לעבוד עם רמטכ""ל שהוא קודם כל בנאדם. עמדנו יחד בצמתים רבים ובמבחנים ביטחוניים לא פשוטים. בכל החלטה, תמיד עמד לנגד עינינו דבר אחד בלבד: שלומם וביטחונם של אזרחי ישראל. "
"לפני כולם, תודה לכם- מפקדים, חיילים ועובדי משרד הביטחון. היו לי הזכות והכבוד להיות שר הביטחון שלכם. אני מחזק את תושבי הדרום, שתקופה ממושכת מגלים אומץ אישי ואזרחי. אתם החלוצים האמיתיים של ימינו. ליבי ותקוותי עם משפחות השבויים והנעדרים. הלוואי שנוכל לממש את הפסוק ""ושבו בנים לגבולם"" "
"ליבי ביום הקשה הזה עם משפחת עטר, הורים וששת ילדיהם שניספו ברגע אחד בכביש. מי ייתן ושושי, יריב, יעקב אברהם, עטרת, איילה, מוריה, ידיד ואביגיל יהיו הקורבנות האחרונים של הקטל הנורא בכבישים. יהי זכרם ברוך. "
"התנאי המוקדם של 'ישראל ביתנו' לכל הסכם קואליציוני בכל רשות מקומית- הנחה של 5% בארנונה למשרתי מילואים. צאו להצביע, כל אזרחי ישראל וזיכרו שהאות ל' היא אות חשובה- לנצח, לעשות, ליברמן. "
"""כאן גלי צה""ל מירושלים""
חלום שהפך למציאות "
ברכות לתעשייה האווירית ולמערכת הביטחון על עסקת הענק למכירת 'ברק 8' להודו. זוהי עוד הוכחה שביטחון הוא השקעה ולא הוצאה. התעשייה האווירית היא נכס לאומי. יש לשמור עליה ולחזקה. 
"תודה יאיר קולס, בהצלחה עופר וינטר "
"נפגשתי היום עם מסתערבי יחידת 'דובדבן'. עקבתי מקרוב אחר המאמצים הכבירים ללכידת המחבל שרצח את קים לבנגרונד-יחזקאל ואת זיו חג'בי הי""ד. היחידה הזאת עושה דברים דמיוניים, הרבה מעבר לכל ספר מתח. אנחנו מתקרבים אל המחבל, הזמן שלו הולך ואוזל."" "
סיירתי היום בקרני שומרון כדי לעמוד מקרוב על הבנייה ביהודה ושומרון. בימים אלו נבנים 11000 בתים ועוד 11000 בשלבי אישור. עובדות 
"אנו פועלים נגד חמאס בכל החזיתות. תוקפים את מצבורי הנשק ומייבשים את מקורות המימון שלהם. זו הסיבה שהקמתי מטה לאומי ללוחמה כלכלית בטרור, שיחד עם השב""כ, הצבא ורשות המסים, כבר מביא תוצאות. נמשיך להלחם בטרור, במחבלים, בשולחיהם ובתשתית הכלכלית, בכל האמצעים ובחכמה. "
"זכיתי לחנוך את סוכת שר הביטחון בביתי שבנוקדים  עם חיילי גדוד 75 של השיריון. אין אושפיזין ראויים מכם. בזכותכם ובזכות עשרות אלפי חיילי צה""ל שישארו לשמור עלינו במקום להיות בבית בחג, עם ישראל יוכל לחגוג ולטייל בחג הסוכות בשקט ובביטחון. מצדיע לכם! "
"שמחתי לקבל היום במשרד את ידידי לוי אדרעי שהביא ארבעת המינים לחג הסוכות. אדרעי ואלפי שלוחי חב""ד פועלים כל השנה לעזור לכל יהודי בשמחה ובאהבה. תודה רבה לכם! אתם ממשיכי המסורת של העם היהודי "
נחתתי היום בבאקו אזרביג׳ן לפגישה עם הנשיא אילחאם אילייב ועם שר ההגנה והשר למצבי חירום אזרחיים. שוחחנו על המצב האזורי ועל הרחבת שיתוף הפעולה בין המדינות. 
"זכות להיות שר הביטחון הישראלי הראשון שמבקר בגאורגיה. נפגשתי הערב עם ראש הממשלה, שר ההגנה ושר החוץ. היחסים בינינו לבין העם והגאורגי בני מאות שנים ואני שמח על שיתוף הפעולה המתהדק בין המדינות. "
"היום זכיתי להודות באופן אישי לחיילי פלוגת ההרודיון: ""גם בימים האחרונים עצרנו חשודים ומנענו פיגועי טרור. עם ישראל יוכל לחגוג את ראש השנה בלב שקט בזכות חיילי צה""ל וכוחות הביטחון שימשיכו לשקוד על שלום כולנו גם בחג״ "
שנה טובה מצעירי ישראל ביתנו לכל בית ישראל 

"השתתפתי הערב באירוע לציון 70 שנה לאגף המודיעין בצה""ל. כל מילה מיותרת. תמשיכו לעשות את העבודה שלכם כפי שאתם עושים בהצטיינות 70 שנה "
"שנה טובה לחיילי צה""ל. עם ישראל אוהב אתכם! "
"ביקרתי היום בפעם השלישית בחודש האחרון בתרגיל צבאי בצפון. יש לנו כוח מתמרן מוכן, דרוך ונחוש לקרב. שמחתי לראות את המוטיבציה של החיילים שלנו. אנחנו עוקבים אחרי השינויים האזורים ולא מאחלים לאף אויב להתקל בכוחותינו בשדה הקרב. "
סיירתי היום בצפון בישובים הנפלאים שלנו ליד הגדר. אנחנו משקיעים 220 מיליון שקל במיגון של ישובים עד 9 קילומטר מגבול לבנון. במקביל אנחנו בוחנים כל הזמן את העיצוב מחדש של סוריה.  כל ההסכמות שם לא רלוונטיות מבחינתנו. נשמור על האינטרסים הבטחוניים שלנו. 
"סיכמנו לרכוש  מ'תעש מערכות' במאות מיליוני שקלים רקטות חדשות ומדויקות. אנחנו הופכים את צהל לחזק יותר, מגוון ומתוחכם יותר. "

"Today I met @AmbJohnBolton. Israel has the benefit of a very supportive US President and administration who provide us with the backing necessary to confront our enemies north and south. Thank you, John, for your contribution to Israel's national security. "

"ביקרתי הבוקר יחד עם הרמטכ""ל ומפקד פיקוד צפון בתרגיל שריון ברמת הגולן. התרשמתי מהמוטיבציה של החיילים ומהרמה המקצועית הגבוהה של החיל שבתקופתי שיעורי הגיוס שלו קפצו פי 3. אנחנו רואים שצבא סוריה נבנה מחדש. חיל השריון הוא כוח המחץ שלנו וידע להגן על הגבול בכל תרחיש. "
אנחנו ממשיכים בעבודות אינטסיביות להקמת המכשול היבשתי והימי סביב עזה. חמאס מאבד כל יום מהיכולות שלו לפגוע בישראל. נמשיך להגן על אזרחי ישראל כשצריך בעוצמה וכשצריך בחוכמה. 
סיירתי הבוקר במערך בהגנה האווירית בצפון.  פגשתי גם את סרן אור נעמן שהייתה אחראית ליירוטים מוצלחים בשבועות האחרונים. האנשים כאן עושים עבודה יוצאת מן הכלל.  אנחנו לא נתערב בענייניה של סוריה אלא אם א. תפר את הסכם ההפרדה מ-74 ב. תשמש בסיס איראני קדמי ג. תאפשר העברת נשק לחיזבאללה. 
"השתתפתי הערב בטקס סיום קורס חובלים. יורדי הים הנועזים, אנשי הברזל שלנו, מוכנים בכל רגע נתון לכל משימה. אתם ערוכים גם בים סוף, גם בצפון וגם בדרום. ערוכים למערכה בכל החזיתות בו זמנית, מוכנים לתת מכה קשה לאויב. "
"מר גבאי, מה שלום העוזרת? היא לא יכולה לסדר לך מסמך מזויף ממלמ""ב שאתה ראש ממשלה ותשחרר אותנו? 

אגב איגור מבקר בארץ לעתים קרובות אשמח לסדר לך פגישה אתו "
"קיימתי עכשיו עם הרמטכ""ל, מפקד הפיקוד, המתפ""ש והשב""כ, דיון הערכת מצב בפיקוד דרום. צה""ל מוכן לכל תרחיש. "
"ביקרתי הבוקר בבית החולים סורוקה את סגן בר וקנין, שנפצע בשבוע שעבר מירי מחבלים בגבול רצועת עזה ושמחתי לראות שהוא מתאושש. אמרתי לסגן וקנין ולהוריו: בסוף צה""ל מגיע לכולם. כפי שהבטחנו למשפחתו של רונן לוברסקי ז""ל שנמצה את הדין עם מי שפגע בו, גם הפעם נגיע למחבל ונסגור איתו את החשבון. "
"הערבות ההדדית היא מקור כוחנו. זה חייל  המילואים שעוזב את המשפחה וזה הישראלי שמגיע עם המשפחה לחזק חבלי ארץ שסובלים מהאויב.  הגענו היום לאור הנר וברור חיל, כל סיעת ישראל ביתנו. בואו לחזק את עוטף עזה. החמאס רוצה לשתק אותנו אבל אנחנו נגיע בהמונינו לבלות, לטייל ולאכול. "
התראיינתי היום לאתר אלמונסק @CogatArabicהמסר שלי לתושבי עזה: הבחירה בידכם. אנחנו יכולים להיות השותפים שלכם להפיכת עזה לסינגפור של המזרח התיכון. אם ההנהגה שלכם לא מוכנה תחליפו את ההנהגה. 
"שוחחתי הבוקר עם הרמטכ״ל ואלופי צה""ל בישיבת המטה הכללי. הכדור כעת בידיים של החמאס והאחריות לכל מה שיקרה מעכשיו ואילך היא עליהם. אנחנו עומדים במטרות שהצבנו לעצמנו: למנוע שיגור עפיפונים וחיכוך על הגדר, ולהמנע ממלחמה מיותרת. אנחנו לא מורתעים ממערכה מול חמאס. אם נצטרך אנחנו ערוכים. "
ביקרתי הבוקר במסוף כרם שלום. תושבי עזה חייבים להבין שכל עוד בצד שלנו יש בלוני תבערה גם בצד שלהם החיים לא יחזרו לשגרה ונורמליות. אתמול היה שקט ואם זה ימשך עד יום שלישי כרם שלום יחזור לפעול כרגיל. 
"התחלנו לשפץ 321 מקלטים בצפון במסגרת תוכנית ""מגן העורף"" שיזמתי לטיפול במיגון הצפון. אחרי המקלטים נבנה אלפי ממ""דים לאזרחים, נמגן מרפאות גני ילדים בתי חולים ונחזק מבנים. עובדים. "
"ביקרתי בצהריים באוגדת עזה עם ראש הממשלה והרמטכ""ל. דנו בהתמודדות עם טרור החמאס. מה שמנחה אותנו זה קור רוח ועצבי ברזל ולא לחץ תקשורתי "
"ביקרתי הבוקר בתרגיל של אוגדה 162 בפיקוד דרום. התרשמתי מהמקצעויות של החיילים. הם ערוכים לכל תרחיש, בצפון, בדרום, במלחמה ובשגרה. צה""ל יודע מה לעשות איך לעשות ומתי לעשות. אנחנו נקבע כללי המשחק ולא אף אחד. "
"סיימתי סיור עם מפקדי צה""ל בצפון. נקפיד על כל פסיק בהסכם ההפרדה בין ישראל לסוריה מ1974. כל חייל סורי שידרוך באזור החיץ מסכן את נפשו. נפעל בעוצמה נגד כל תשתית טרור שנזהה באזור וגם המשטר ישלם מחיר כבד על עצם שיתוף הפעולה. "
"איתי בטקס סיום קורס הטיס בבסיס חיל האוויר בחצרים, נמצאים הוריו ואחיו של לוחם דובדבן סמ""ר רונן לוברסקי ז""ל, יחד עם שלושה מחבריו ליחידה שלכדו את המחבל המתועב שפגע בו. למרות האסון הכבד, רוחם לא נפלה והם מדי יום מפגינים אומץ ונחישות למען העם והארץ וביטחון במדינת ישראל. אני מצדיע לכם. "
"הערב הענקנו את פרס ביטחון ישראל לטובי המוחות שלנו, שהמצאותיהם שינו את המציאות הביטחונית. אחד הפרויקטים הוא הטכנולוגיה היחידה מסוגה בעולם לגילוי המנהרות. לקחנו לחמאס את הנשק האסטרטגי שלו, שבאמצעותו איים לחטוף ולהרוג חיילים וילדים. רבים מתושבי ישראל חייבים לגאונות שלכם את חייהם. "
אני פונה כאן לאזרחי איראן - לאן הולך הכסף שלכם? 
"הערב זכיתי להעניק יחד עם הנשיא והרמטכ״ל תעודות הצטיינות ליחידות מילואים. הרגעים הכי מהנים בתפקיד שר הביטחון הם בחברת אנשי המילואים. אנשים שערכי הארץ ותחושת המחוייבות שלהם לכלל היא במקום ראשון, יותר מהמשפחה, העסק או הלימודים. אלה הגיבורים של החברה הישראלית, היסוד שלה וכוח עוצמתה. "
סיימתי כעת בניקוסיה מפגש משולש עם שרי ההגנה של יוון וקפריסין. מדינותינו משתפות פעולה לנוכח איומי הטרור הקיצוני שמתאמצים לערער את האזור. נמשיך להעמיק את היחסים החבריים בפסגה הבאה שאארח בישראל. 
"אחרי טקס סיום קורס הקצינים הודיתי לרנ""ג יצחק טאיטו האגדי, הרס""ר של בה""ד אחד, בשם חיילי ומפקדי צה""ל לדורותיהם. טאיטו הוא איש עם נשמה מיוחדת ואהבה עצומה לחיילים שיש לו חלק גדול בכל דור ודור של קציני צה""ל הנפלאים. "
"אנו מתמודדים בו זמנית מול טרור בלתי פוסק - מערכות הגנ""א, טילים ארוכי טווח ועפיפונים של האויב, המכוונים אל מרכזי האוכלוסייה בישראל. האתגרים העומדים בפניכם מורכבים ביותר. אין לי ספק מה תהיה התוצאה הסופית. ועל מה שהיה אתמול יש לי רק שלוש מילים לחמאס – זו היתה טעות. "
"היום לפני 40 שנים עליתי לישראל והתחלתי לעבוד כסבל בנתב""ג. הבוקר סגרתי מעגל, כשחציתי את הכביש והגעתי כשר הביטחון לברך את עובדי התעשייה האווירית על פלא היצירה: המל""ט הישראלי שזכה במכרז בגרמניה. 40 שנים אחרי, ישראל היא ארץ האפשרויות הבלתי מוגבלות. יותר אמריקה מאמריקה "
"עם חיילי חטיבת כפיר, דתיים חילונים וחרדים שסיימו היום מסע כומתה. מחנה אחד. מחנה של כל בני ישראל. לא מקנא באויב שיפגוש בכם. "
"תוך 31 יום ברזיל אלופת העולם
"
אף אחד לא חסין ואף מחבל מתועב לא יחמוק מזרועותיה של מערכת הביטחון. אני שולח שוב את תנחומיי למשפחת לוברסקי היקרה. נמצה את הדין עם המחבל. 
"לפני שנתיים, אתם, אזרחי ישראל, נתתם בי את אמונכם שאכהן כשר הביטחון. זו הזדמנות לעדכן אתכם בכמה הישגים שהשגנו. "
"נפרדתי היום בנתב""ג ממשלחת של נכי צה""ל שיוצאים לטפס על המאצ'ו פיצ'ו בפרו במסגרת מיזם שיקומי של אגודת ידידי צה""ל. אנחנו אוהבים אתכם, מאמינים בכם, מתפעלים מתעצומות הנפש שלכם ומעריכים עד אין קץ את ההקרבה שלכם. אתם גיבורים! בהצלחה במסע "
שכל הפרשנים יצעקו ויצרחו. בלי השבויים והנעדרים לא יהיה שום פתרון בעזה 
"המחבלת חנין זועבי נמצאת בכנסת ומקדמת טרור נגד חיילי צה""ל ואזרחי מדינת ישראל רק בגלל שחברי הכנסת מהמחנה הציוני, יש עתיד והמפלגות החרדיות, מסרבים לחתום על הצעתו של ח""כ עודד פורר להדיח אותה על פי חוק. אני מבקש מכם להיכנס לאתר ולכתוב לכל הח""כים. "
סיימתי כעת במוסקבה פגישה עם שר ההגנה הרוסי סרגיי שויגו. מדינת ישראל מעריכה את ההבנה של רוסיה לצרכינו הביטחוניים ובמיוחד למצב בגבולנו הצפוני. נמשיך בדיאלוג עם רוסיה בכל הנושאים שעל הפרק. 
"יוצא כעת לביקור עבודה ברוסיה ומחר אפגש עם עמיתי, שר ההגנה סרגיי שויגו. המיקוד העיקרי של מערכת הביטחון היה ונותר מניעת התבססות של איראן וגרורותיה בסוריה. "
"היום התחלנו בהקמת מכשול ימי יחיד מסוגו בעולם, שיחסום את האפשרות לחדור מעזה לישראל דרך הים. זה סיכול נוסף לחמאס שיאבד עוד יכולת אסטרטגית, שבפיתוחה השקיע סכומי עתק. נמשיך להגן על אזרחי ישראל בעוצמה ובתחכום. "
"סיירתי היום ביהודה ושומרון ביחד עם המפקדים המצויינים של צה""ל. עמדתי מקרוב על ההיערכות לחג הרמאדן. צה""ל והשב""כ כל יום מצליחים למנוע פיגועים, בתקופה הלא פשוטה הזאת. בחנתי גם את הפרמטרים הכלכליים. ביו""ש יש פריחה כלכלית, ובעזה ירידה. הבעיה של תושבי עזה היא לא ישראל, אלא הנהגת חמאס. "
"בסוף השבוע הארוך והשרבי הזה אנחנו חושבים באהבה רבה, בתודה ובהוקרה על חיילי צה""ל הגיבורים והאמיצים שמגינים עלינו בכל יום ובכל מזג אוויר. חיילים יקרים, כמו שאתם מגינים עלינו מפני טרור החמאס, אנו נגן עליכם מפני ועדות חקירה בינ״ל וכנופיות הצבועים שפועלות נגד ישראל. עם ישראל אוהב אתכם "
"באתי להגיד לכם תודה בשם כל עם ישראל. אל תקשיבו למקהלת הצבועים בעולם. עמדתם במשימה לא לפגוע בריבונות ישראלית,  גם מקצועית, גם נורמטיבית ושמרתם על התושבים. אנו יכולים רק לדמיין מה היה קורה אם המחבלים האלו היו פורצים לאחד הישובים. חובתנו למנוע מהם להגיע לשטח ישראל ולפגוע בנו. "
"התייחדנו היום עם חללי מלחמות ששת הימים וההתשה. לנצח נוקיר את החללים ששילמו בחייהם כדי שנקבל את הניצחון הגדול. היום, בדיוק כמו אז, הקהילה הבינל טומנת את ראשה בחול אל מול המשטרים הרצחניים במזרח התיכון. אנחנו יכולים רק לסמוך על עצמנו ועל אומץ ליבם של הנופלים למעננו. יהי זכרם ברוך "
ממשיכים להשמיד את פרויקט מנהרות הטרור של החמאס 
"ביקרתי הבוקר בבית קפה בקצרין יחד עם ידידי ראש העיר דימטרי אפרצ'ב וראש המועצה האזורית אלי מלכא. מזג האוויר מושלם, המסעדות נהדרות, התושבים מכניסים אורחים. צאו לטייל בצפון בשבת ותהנו מחבל הארץ הזה "
"כשהרס""ר המיתולוגי של צה""ל מבקש ממך סלפי אני מיד מתייצב "
נמאס להיות פראיירים. עוצרים את תשלומי הרש״פ למחבלים רוצחים ומשפחותיהם 
"אחרי בוקר של דיונים בקריה על ציונות  וחדשנות, הצגתי למייסד עליבאבא, ג'ק מא, את הסטארטאפ הישראלי של כל הזמנים. "
"9.2 מיליארד דולר בשנה! בתוך שנתיים הקפצנו את היצוא הביטחוני בעשרות אחוזים לשיא כל הזמנים. כל הכבוד לאגף היצוא הביטחוני (סיב""ט) ולתעשיות הביטחוניות. ההישג הזה יאפשר לנו להגדיל את תקציבי המחקר והפיתוח, לייצר מקומות עבודה חדשים ובעיקר להבטיח את עליונותו של צה""ל לשנים קדימה. "
"שמחתי לפגוש אתמול בפנטגון את מזכיר ההגנה ג'יימס מאטיס. הוא ידיד אמת של ישראל וקשוב לצרכים שלנו
"
האיום הגדול ביותר על היציבות במזרח התיכון הוא האיום האיראני. אמרתי היום לשר ההגנה מאטיס שאנו מעריכים  את שיתוף הפעולה יוצא הדופן של ארה״ב בהנהגת הנשיא טראמפ ושאני מקווה שנתרגם את תוצאות הפגישה לצעדים משמעותיים על הקרקע 
"סיימתי את פגישתי בבית הלבן עם היועץ לביטחון לאומי. ג'ון בולטון הוא ידיד נאמן של מדינת ישראל. אני שמח שהאמריקנים רואים איתנו עין בעין את המצב במזרח התיכון ומודה להם על תמיכתם בישראל בתקופה רגישה זו.

צילום: אריאל חרמוני, משרד הביטחון "
"נפגשתי אמש בבניין הקפיטול עם חברי הועדה לשירותים מזויינים של הסנאט. הודתי לסנאטורים (כאן עם ג׳ים אינהוף) על תמיכתם בשימור היתרון האיכותי של צה""ל ובמיוחד בתוכנית ההגנה מפני טילים  שמחתי לפגוש ידידים של ישראל שדואגים לבטחוננו. היום אבקר בפנטגון ואפגוש את ידידי שר ההגנה ג'יימס מאטיס "
"סיימתי היום סיור בעוטף עזה. פגשתי את החיילים ואת המפקדים. הם מבינים היטב את המשימה, הם נחושים והם האנשים הטובים ביותר שעם ישראל יכול לסמוך עליהם. בזכות פעילות צה""ל, משבוע לשבוע יש ירידה במספר המשתתפים בהתפרעויות. אנחנו ממשיכים להיערך לכל תרחיש, גם בעזה וגם בצפון. "
כבר חשבתי שהטקס יימשך עד יום העצמאות ה-80... 
"אמרתי היום בטקס הזיכרון בבית העלמין הצבאי בקריית שאול. ""איננו מחפשים הרפתקאות. אבל לצערנו, האיומים לפגוע ולהשמיד את מדינת ישראל לא נפסקים. עצתי לשכנינו - קחו את זה בחשבון וברצינות. לא תוכלו לנצח אותנו. סוד כוחנו הוא בעם המופלא הזה, במי שטמון כאן, שמסרו את הנפש למען מדינת ישראל"". "
"בחרתי הערב באירוע ""שירים לזכרם"" דברים שכתב רס""ן אלירז פרץ שנפל בקרב במרץ 2010. ""צריך לתת הכל. אם אתה אוהב, אתה אוהב עד הסוף. אם אתה חבר, אתה חבר עד הסוף. ואם אתה בצבא, אתה שם עד הסוף. זה מסירות נפש"". אלירז הוא סמל הנחישות, שהיא סוד הקיום שלנו כאן מול אויבנו. לא נכנע ולא נוותר. "
"בין יום הזיכרון לבין יום העצמאות, ערב שנת ה70 למדינת ישראל. לא נשכח בזכות מי אנחנו כאן ולא נשכח מה השגנו. "
הצלף צריך לקבל צל״ש. הצלם  טר״ש. 
"הדלקתי היום את הנר הוירטואלי הראשון לזכרם של חללי מערכות ישראל באתר ההנצחה הממלכתי ""יזכור"" של משרד הביטחון. תמיד נזכור אתכם יקירינו, יקירי האומה כולה, בזכות אומץ ליבכם וגבורתכם. אני מזמין את כלל הציבור להנציח את הנופלים ולהדליק נר לזכרם.  "
"שוב צהל ושירות הביטחון הכללי מנעו פיגוע טרור נגד כוחותינו. האתגרים בגבול עזה מגוונים ומורכבים. לעם ישראל יש על מי לסמוך. אני מקווה שהפעם חברינו מהשמאל לא ידרשו ועדת חקירה.
"
"אחרי שבליל הסדר לא יכולתי להיות עם המשפחה, שמח להשלים פערים עם הבן עמוס וחברים. חג שמח לכולם "
"המתפ""ש @COGATHebrew הוא גוף חשוב עם משימות ואתגרים רבים, בייחוד בימים אלה. אני רוצה להודות למתפ""ש היוצא האלוף פולי מרדכי שהיה משרד חוץ של איש אחד ולברך את האלוף כמיל אבו רוקון שנכנס לתפקיד רגיש. כמיל ישראל זקוקה לך! "
"על מסורת לא מוותרים גם בימים עמוסים. כבכל שנה ערב ליל הסדר, קיבלתי מצות שמורות מאיש חב""ד, ידידי לוי אדרעי.  אני מנצל את ההזדמנות ושולח באמצעותו את ברכותי לאלפים הרבים שיסבו בליל הסדר שעורכים שלוחי חב״ד בארץ ובעולם. 
חג שמח וכשר לכולם. "
"רבים שואלים אותי, ליברמן, למה יש לך פלאפון כזה ישן "
"עם דמיון חופשי ואנרגיות טובות של החלמה ליצחק קלפטר האהוב 

"
"שמח לצרף את הפלייליסט: שירים שאני אוהב לשמוע אחרי משברים פוליטיים
"
ביקרתי הבוקר בתרגיל העורף הלאומי כדי להמשיך להכין את המדינה למצב חירום. נמשיך לדאוג למדינה גם במשרד הביטחון וגם בהצבעה בכנסת. 
