"גפן, הבת המקסימה של הילה הדוברת שלי.  אני חייב לה המון שעות אמא. "
"לינוי, תודה. אנחנו באים עם תוכניות מעשיות. לא רק במאבק בבירוקרטיה, גם בטיפול בבריאות, בתחבורה, בדיור, בחינוך ובעוד תחומים שנוגעים לחיים של כולנו כאן. את מוזמנת להעמיק: "
פעם גזען. תמיד גזען. 
"שיעור לבני גנץ - ככה אומרים ""לא נשב בממשלה של נתניהו"": "
"מערכת הבחירות נפתחה מחדש. מהיום הכל ברור.
גנץ אמר בקולו שהוא יישב בממשלה של נתניהו.
לפיד וגנץ יישבו בממשלה של נתניהו.
יש את נתניהו ואת כחול לבן שיישבו איתו בקואליציה.
ומולם - יש אותנו. את מפלגת העבודה, שתמשיך להילחם בשביל מי שמאמין בשינוי.
רק מפלגת העבודה מתחייבת ומחוייבת לשינוי. "
כזה עוד לא ראיתם. 
"כחול לבן, התבלבלתם.
לא מצטרפים לנתניהו. מחליפים את נתניהו.
אנחנו מתחייבים לא לשבת בממשלה של נתניהו. חד, פשוט וברור "
"מי שחונה בכחול לבן – שלא יתפלא אם יגררו אותו לימין.
מי שחונה בכחול לבן יקים את ממשלת נתניהו הבאה.
מי שחונה בכחול לבן ימשיך את דרכו של נתניהו.
הערב הוכח שוב שכחול לבן ישבו בממשלה של נתניהו. 
אנחנו לא ניתן שיגנבו את קולות המחנה שלנו כדי להקים עוד ממשלה של נתניהו. "
שני אירועי השחיתות הכי גדולים בתולדות מדינת ישראל קרו בקדנציה של נתניהו: מתווה הגז ופרשת הצוללות. 
מירי רגב רק מזיזה את השפתיים. אבל הקול הוא הקול של נתניהו. 
"יש מי שהפקיר את הזקנים 10 שנים, ויש את @ishmuli שעבד וימשיך לעבוד בשבילם בממשלה הבאה.
להורים שלנו שהקימו ופיתחו את המדינה מגיע לחיות בכבוד. אנחנו ניתן להם את מה שמגיע להם: העלאה של קצבאות הזקנה לרמת שכר המינימום. אנחנו נתחיל בתהליך הזה כבר בממשלה הבאה. זאת ההתחייבות שלנו. "
אני לא יודע מה יש בטלפון של גנץ. אני יודע מה אין שם: 
היה כנס מרגש במיוחד.  שאפו @yayafink 
RT @HavodaParty: אבי גבאי נותן בראש לקמפיין הגזעני של משפחת נתניהו: 
כשאתם מצביעים כחול לבן - אתם מצביעים ימין: 
"המצב הבטחוני בדרום הוא הגרוע אי פעם, כי נתניהו יוצר תרבות של מהיום להיום, ולא מטפל בשום בעיה לעומק. נתניהו מחזק את חמאס, ומחליש את המתונים. התכנית שלנו - לעשות בדיוק ההיפך. "
מה ששלי אומרת. 
"זה מה ש""כחול לבן"" חושבים עליכם.
""כחול לבן"" - זה ימין.
חוזרים לדרך. חוזרים לעבודה. "
RT @HavodaParty: החביתה המחופפת של ביבי או הבולונז המושקע של אבי. אתם תבחרו. 
"אתמול פרסמתי את הסרטון הזה, כדי להראות את מחדלי התחבורה הציבורית ואיך אפשר לפתור אותם. 

בליכוד נלחצו ומאיימים לעתור לועדת הבחירות, כדי שנעצור את פרסום הסרטון.

במקום להודות בכישלון, נתניהו רוצה לכסות את הבעיה בפלסטר.

צפו ושתפו. "
RT @GabbayAvi: .@Israel_katz קיבלת דוח? סע בתחבורה ציבורית 
"לא, נפתלי, החלום הרטוב של חמאס זה לקבל בכל חודש מיליוני דולרים במזוודה. ואת החלום הזה הגשימה ממשלת הימין שלך ושל נתניהו. תסתכל במראה לפני שאתה מלכלך "
.@Israel_katz קיבלת דוח? סע בתחבורה ציבורית 
"כל מילה עמר. חד וברור מול כל הגמגומים והזגזוגים. חלק חשוב בנבחרת מצוינת שמציגה דרך אמיתית ולא אומרת רק מה לא, אלא גם מה כן - כן להיפרדות מהפלסטינים ולפתרון שתי המדינות, עם תכנית סדורה - ""נתיבים להיפרדות"". "
"נפתלי תפסיק לערבב אותנו. השווית את בגץ לחמאס. או שתחזור בך, או שתחזור למפלגה של סמוטריץ ובן גביר - היום התברר שאתה בדיוק כמוהם. אני מבין שהימין חדש אבל ההסתה ישנה "
"הרכבת הממשלה מוטלת על מי שיכול להרכיב קואליציה ולא על מי שיש לו הכי הרבה מנדטים. לכן כדי להבטיח קואליציה של מפלגות המרכז שמאל שהולכת בדרך של המרכז שמאל חייבים לחזק את מפלגת העבודה.
הערב בסלון הפוליטי בתל אביב, עם צעירים שמאמינים בשינוי. "
פצצה. ! 
על האומץ לומר את מה שאמור להיות מובן מאליו: כל אזרחי ישראל הם שווים. 
כחול לבן זה ימין. 
"RT @rousso_tal: עכשיו זה סופי!
אני רץ ואני צריך אתכם איתי.
הצטרפו אלי וביחד נוביל לשינוי במדינה. "
"סופי - אין צינון. יש רוסו!
טל - בשעה טובה, סופי ומוחלט - אתה איתנו.
גאה לצעוד לצידך בנבחרת הכי טובה בישראל, עם האנשים הכי טובים, מסורים ומנוסים - שיילחמו עבור שינוי אמיתי לאזרחי ישראל.
ברוך הבא (שוב)! "
".@StavShaffir במאבק בכהניסטים ובפשיסטים, הוכחת כמה אומץ ציבורי יש לך. כולנו איתך, כולנו מאחורייך. "
"הערב בחיפה, עם ראש העירייה עינת קליש רותם, ח״כ סתיו שפיר וח״כ יעל כהן פארן, ועם מאות תושבי חיפה שמאמינים בדרך ובנבחרת של העבודה ובאו לשמוע על התכניות המעשיות שלנו למדינה ולמפרץ חיפה. @EINATkalisch @StavShaffir @YaelCohenParan "
"אנחנו ננקה את מפרץ חיפה, נקטין את הזיהום, נשמור על בריאות התושבים וניצור מקורות תעסוקה נקיים עבור תושבי המפרץ.

זאת המחויבות שעליה הצהרנו הערב בכנס בחיפה  
תושבי חיפה והסביבה. תרשמו. זאת ההתחייבות שלנו. 
@EINATkalisch @YaelCohenParan @StavShaffir "
"השבוע הצגנו את תכנית ״בטחון לדרום״, שתחזיר החיים הנורמליים לתושבי עוטף עזה והדרום כולו. 
זאת הדרך של מפלגת העבודה. דרך של יוזמה. 
שבוע טוב ושקט לכולם "
"RT @GabbayAvi: הטריפל שלנו. שינוי שלטוני, דרך והנבחרת הכי טובה בפתק אחד: "
"@YaronDeckel פרסמנו מספר תכניות (בריאות לישראל, נתיבים להיפרדות ובטחון לדרום ועוד ועוד) כמעט ללא סיקור תקשורתי.  זו החלטה שלכם לסקר רק קקפוניה. "
"נתניהו, אתה המנהיג של הכהניסטים. בידיך לעצור את זה. 
בימים האחרונים ח״כ סתיו שפיר מקבלת איומים מטעם כהניסטים וחברי עוצמה יהודית. היום הוצמדה לה אבטחה. 
ראינו לאן האיומים האלה יכולים להוביל אם לא עוצרים אותם בזמן. חייבים לשים לזה סוף. עכשיו.
ויכוח פוליטי - כן.
אלימות - לא. "
"הטריפל שלנו. שינוי שלטוני, דרך והנבחרת הכי טובה בפתק אחד: "
מפלגת העבודה - נבחרת של אלופים. 
"אסור לסגור את שדה דב. תומכים בתכנית של רון חולדאי שתאפשר לבנות אלפי דירות חדשות וגם לשמור על שדה תעופה עירוני ועורק החיים של  67,000 תושבי העיר אילת. "
"ילדי הדרום משלמים את מחיר הפחדנות הפוליטית של נתניהו. אנחנו נעצור את זה. 
אין מדינה בעולם שהייתה מאפשרת לאורך שנים ירי של טילים ובלוני נפץ על שטחה הריבוני בלי לקחת יוזמה ולשנות את המציאות. 
היום הצגנו את ""ביטחון לדרום"".  יוזמה שמשרתת את האינטרס ואת הבטחון שלנו. "
"להחזיר את היוזמה לידיים שלנו, להגן על עוטף עזה: "
"אני קורא לכחול לבן, אל תפחדו מהטייקונים. תחזירו את הרחקת אסדות הגז למצע. "
RT @HavodaParty: אם זה נראה כמו ימין... 
"הסיפור של אסדת הגז לוויתן והסעיף שנמחק ממצע ""כחול לבן"" לא נתן לי לישון הלילה. לא בגלל שאני לא יודע מה קרה שם אלא בעיקר בגלל מה שאני כן יודע. 
אני הייתי שם כשאישרו את מתווה הגז המושחת. ראיתי שם לחצים של כוחות אדירים שקשה אפילו לדמיין... "
"בא להרים (טלפונים) עם הטלפנים האלופים שלנו במוקד. מביאים לכל בית את הטריפל של מפלגת העבודה: שינוי, דרך ונבחרת. "
"בושה. מי שמחריב את העם היהודי זה קנאים כמוכם, שחושבים שיש לכם בעלות על אלוהים. בהסתה שלכם אין שום דבר נורמלי. "
"מצאתם על מי לאיים. ח""כ סתיו שפיר, וכל מפלגת העבודה, נמשיך יחד להיאבק נגד הכהניסטים הגזענים. אנחנו לא מפחדים מכם ואנחנו ננצח. @StavShaffir "
חגיגה של דמוקרטיה בבליך. צעירים נפלאים שעדיין זוכרים איך לחלום על עתיד טוב יותר. אנחנו נעבוד בשבילם. 
בדיוק הפוך מהליכוד. גם בבריאות. 
"אני מכיר את טל, ויודע כמה חשובים לו תושבי העוטף למענם לחם ועליהם הגן במשך שנים.
היה ברור לי מהרגע הראשון שהציטוט שיוחס לו אינו נכון.
אני גאה שאדם כמו טל נמצא בנבחרת שלנו. "
"״זאת הפעם הראשונה שחברי כנסת מגיעים לבקר במחלקה הפנימית״ אמר לנו פרופ׳ אבישי אליס, כשהגענו לביקור בבי״ח בלינסון. את מה שהוא אמר אחר כך צריך פשוט לראות בעיניים.

אנחנו נשקם את מערכת הבריאות שהליכוד הזניח. קראו עכשיו את תכנית ״בריאות לישראל״: "
"RT @HavodaParty: הקרנת ענק על כלא מעשיהו:
נתניהו, ישראל מתביישת. 
נתניהו, תתפטר. 
שתפו עכשיו כדי שגם נתניהו יראה! "
"מהפך זה לא רק ""לא ביבי"". מהפך זה להוביל דרך אחרת.
אנחנו רוצים מהפך, לא כדי שבוגי ימשיך בתכניות הסיפוח ובהרחבת ההתיישבות מחוץ לגושים ולא כדי שצביקה האוזר יחוקק חוק לאום נוסף. המשמעות של מהפך היא להוביל להיפרדות מהפלסטינים ולכלכלה צודקת. 
זאת הדרך של מפלגת העבודה. @AmalyaDuek "
"נתניהו, אל תבייש את אזרחי ישראל. "
נאום ענק של מרים פרץ בכנס החדשנות של השלטון המקומי. דיברה על ציפיות מהמנהיגים שלנו. אישה שהיא השראה לאומית 
"RT @HavodaParty: טל, המילואימניק שלנו, נותן עבודה.
@rousso_tal "
"נפתלי, בזמן שאתה גורר את ביבי לסיפוח מיליוני פלסטינים, אנחנו מובילים להיפרדות. למען ישראל יהודית ודמוקרטית. זאת הדרך שלנו. בלי להתנצל. "
"בדיוק הפוך מהליכוד.
צפו ושתפו. "
"נתניהו, אין קו מוסרי שלא פרצת, אין בור של כאב בחברה הישראלית שלא חפרת והרחבת את הכאב ואין סדק בחברה שלא ניצלת בכדי לפצל אותנו. הפעם זה לא יעזור לך. הפעם זה לא יעבוד על עם ישראל. "
"בדרך למסיבת העיתונאים: מציגים את מתווה ""3 נתיבים להיפרדות"" - סוללים דרך להיפרדות בטוחה מהפלסטינים.
זאת הדרך שלנו. "
מבוא לכלכלה: מי באמת פשט רגל? 
אמילי.  הולכת עם העקרונות והאמת שלה. נחושה ואמיצה. שאפו 
"RT @rousso_tal: בטוויטר כבר 5 דקות. 
משוחרר כבר 5 שנים. "
"ברוך הבא גם לטוויטר, טל. "
"מסיים ערב מצוין ומעורר תקווה בכנס היהודי-ערבי שקיימנו בעין חרוד. אני גאה בדרך של מפלגת העבודה, המובילה את נושא החיים המשותפים בין יהודים וערבים. השוויון הוא ערך עליון ואנחנו מחויבים לו. "
"תכלס, זאת ציונות. "
RT @ranmem: מחשבות של מצביע מבולבל 
"גיא, ברכות על הזכייה בפרס האוסקר לסרט הקצר הטוב ביותר. גאווה גדולה לך ולתרבות הישראלית! "
"בוקר עם התלמידים בבליך. הם נפלאים, שואלים שאלות טובות ומגלים עניין. חינוך מצוין לדמוקרטיה. "
"בנאומי בועידת איפאק, נוכחתי לדעת עד כמה הארגון מכיל את התפיסות המנוגדות בפוליטיקה הישראלית. היום איפאק מסמנת קו אדום נגד השותפות הפוליטיות הבזויה של נתניהו עם הכהניסטים. את השבר העמוק שיצר נתניהו עם יהדות ארה״ב ייקח עוד שנים לתקן, אבל נעשה את זה. תודה לכם איפאק על האמירה המוסרית! "
קול למפלגת העבודה הוא תעודת ביטוח למהפך שלטוני. 
"עמיר היקר, כבוד גדול על בחירתך לתפקיד החשוב.
עמיר נלחם שנים על מעמדה הבינלאומי של ישראל ואני גאה על כך שהוא חלק מהנבחרת המצוינת של מפלגת העבודה. "
"כדי להילחם באפליה, באלימות ובהסתה נגד הקהילה הגאה, צריך אנשים, תכניות ונחישות. יש לנו חבילה של 24 חוקים למען שוויון זכויות לקהילה הגאה בכל תחומי החיים, ואת הנבחרת הכי טובה בכנסת. יש לנו את הנחישות, הרצון והיכולת לעשות את השינוי הזה. ואנחנו נעשה הכל כדי להביא לשינוי ולמהפך שלטוני. "
אני גאה בנבחרת שלנו. הנבחרת הכי טובה בישראל. יחד נהיה הכוח שיביא את השינוי. 
"המצטרפים החדשים לנבחרת הכי טובה בישראל - חיים ילין ויעל כהן-פארן!
@HaimJelin @YaelCohenParan "
"יעל, חיים, ברוכים הבאים לנבחרת העבודה! "
"יש לנו נבחרת מנצחת עם 4 חברות כנסת מצוינות בעשירייה הראשונה. לצערנו, אנחנו עדיין נלחמים על שוויון בין נשים לגברים, אבל הבעיה היא לא רק בקידום חוקים למען שוויון, אלא באכיפה שלהם. בלי אכיפה, גם החוקים השוויוניים ביותר לא יובילו לשינוי.
הערב עם @DaphnaLiel בכנס ״בוחרות 2019״ "
"ליכוד צירף היום למפלגת הבת שלו את הכהניסטים, הגזענים, המחרחרים והמסיתים.

מעשית הליכוד הכריז היום סופית על פשיטת רגל ערכית. על התנתקות סופית מדרכם של מנהיגי עבר שלו שיצאו ממליאת הכנסת כשכהנא עלה לנאום. "
"טל, ברוך הבא לנבחרת הלוחמים המצוינת של מפלגת העבודה. אנחנו מצרפים היום שותף מלא לעשייה ולקרב הגדול על שינוי פני המדינה.
ההצטרפות של טל מרכיבה נבחרת עם האנשים הטובים ביותר בפוליטיקה הישראלית, עם חזון ברור של היפרדות בטוחה מהפלסטינים על בסיס שתי מדינות לשני עמים. זאת הדרך שלנו. "
אלוף במיל' טל רוסו מצטרף למפלגת העבודה - הצטרפו לשידור החי 
"היום, 13:00, בשידור חי:
אלוף במיל' טל רוסו מצטרף למפלגת העבודה "
RT @barak_ehud: ברכות לאלוף במיל' טל רוסו על הצטרפותו למפלגת העבודה. איש עשייה וערכים ששירת באומץ עשרות שנים. חזק ואמץ. 
"חיזוק נוסף לנבחרת העבודה:

אלוף במיל' טל רוסו.

טל, ברוך הבא.

חוזרים לדרך. חוזרים לעבודה. "
"למה שקרה בצרפת יש שם ברור: אנטישמיות. אסור לכבס את זה ואסור לעמעם את זה. מי שמתקרב ונותן לגיטימציה לאנטישמים קטנים, מקבל אנטישמיות גדולה ומסוכנת.
(צילום: AFP) "
"נעם, תודה! "
"עם יו""ר האופוזיציה ויו""ר הסיעה שלנו. בקרוב: שרת המשפטים ושר הבריאות. @Syechimovich @ishmuli "
"מרגישים את התקווה לשינוי חוזרת. עם מאות אנשים בחולון, יחד עם ראש העיר, מוטי ששון.

מעל הרכילות הפוליטית והשיח המפלג, אנשים רוצים לראות דרך אחרת: בבריאות, בתחבורה, במחירי הדיור, ביוזמה המדינית ובבטחון

יש לנו דרך, ויש לנו נבחרת שתגרום לשינוי הזה לקרות. 
חוזרים לדרך. חוזרים לעבודה. "
פתחו את ההסכם! נפתח אותו שוב ולטובת הציבור. התחייבות. 
לא ניתן לש״ס לקבוע אם תהיה תחבורה ציבורית בשבת. 
"אריה, למיליוני ישראלים זה חשוב. לא בשכונות ולא בערים חרדיות.  זה צודק ולכן נילחם על זה וזה יהיה.  שבת שלום "
"העתירה של ש""ס לא תעצור אותנו. אוטובוס השבת שלנו ייסע בשבת הזאת, והרבה אוטובוסים יסעו בשבת אחרי הבחירות. זאת התחייבות שלנו. "
RT @HavodaParty: גאים בנבחרת שלנו! 
"תקראו את השרשור הזה ותבינו למה מילים יפות לא מספיקות. הליכוד הזניח את הרפואה הציבורית, ומי שאין לו כסף לרפואה פרטית - נרקב במסדרון. אנחנו נשקם את המערכת הציבורית. איך? ככה: "
"צודק במאה אחוז. מצב מערכת הבריאות הוא לא גזירת גורל. תכנית ""בריאות לישראל"" של מפלגת העבודה תזרים דם למערכת ותחזיר את החמלה
"
"עם הנבחרת של מפלגת העבודה במחלקה הפנימית בביה""ח בלינסון. המקום שבו, ע""פ פרופ אליס, פוליטיקאים אף פעם לא מבקרים. פגשנו חולים שמחכים שעה לכוס מים, וצוות מסור שפשוט לא עומד בעומס.
הרבה מפלגות מדברות על הבריאות. אבל רק למפלגת העבודה יש תכנית עבודה שתטפל במשבר. זאת תהיה העבודה שלנו. "
"ישיבת עבודה ראשונה עם הנבחרת הכי טובה בכנסת. 

אנחנו הולכים לעבוד קשה למען מטרה אחת - מהפך שלטוני במדינת ישראל. מהפך שיחזיר את התקווה למדינה.

מפלגת העבודה תהיה הפתעת הבחירות. זאת התחייבות. "
"אנחנו מאמינים בהיפרדות מהפלסטינים על בסיס שתי מדינות לשני עמים. בלי לגמגם, בלי לזגזג ובלי להתחמק. זה מה שאמרתי בהשקת החוג המדיני בחודש שעבר, וזו העמדה הרשמית של מפלגת העבודה: "
אנחנו גאים בנבחרת שלנו. אנחנו גאים בנבחרות שלנו. 
"ההתנתקות הייתה צעד כואב אבל נכון בטחונית - זאת האמת, ואנחנו נאמר את זה גם מול קהל שחושב אחרת. "
"את האמת אי אפשר לצנזר. ההתנתקות הייתה צעד נכון למדינת ישראל. כשהיינו בעזה, ירו על תושבי שדרות. "
"הלילה אנחנו יוצאים לדרך חדשה. דרך שתסתיים במהפך שלטוני.

ב- 57 הימים הקרובים נלך משכונה לשכונה ומעיר ולעיר ונחזיר את אזרחי ישראל לדרך שלנו. לדרך של בן גוריון ויצחק רבין. "
"ערב טוב לנבחרת הכי טובה בישראל!
הלילה אני גאה להיות יושב ראש מפלגת העבודה.
הלילה נפתחה התקווה למהפך שלטוני בישראל.
חוזרים לדרך. חוזרים לעבודה! "
"מברוק איציק!
@ishmuli "
תודה לכולם. הדמוקרטיה חיה. מכאן מתחילה תנופת השינוי. 
"תענוג לפגוש מצביעים מבוגרים, צעירים, ואפילו צעירים מאוד. בעקבות התורים הארוכים, הנחיתי להשאיר את כל הקלפיות פתוחות עד 21:30, כדי שכולם יספיקו להצביע ולהשפיע. בואו לבחור את הנבחרת הכי טובה בכנסת! "
אני כבר הצבעתי - צאו להצביע. זה חשוב! 
"יוצא מניחום אבלים אצל משפחת אנסבכר, על אורי הנפלאה. אין מילים מול אובדן של נערה צעירה, מלאה חום ואור, שנרצחה בדם קר על ידי מחבל בן עוולה. "
"גאה במפלגת העבודה. חברות וחברים בכל הארץ יוצאים ובוחרים את הנבחרת הכי טובה בכנסת.
בואו גם אתם להצביע! "
"שמח לפגוש בקלפי את דליה רבין, סגנית שר הבטחון לשעבר. "
"חגיגה של דמוקרטיה במפלגת העבודה. חוזרים לדרך, בוחרים נבחרת מנצחת! "
"RT @HavodaParty: אם לא פגשתם את פעילי השטח שלנו בסוף השבוע, כנראה שלא יצאתם מהבית!
חוזרים לשטח. חוזרים לדרך. חוזרים לעבודה! "
